instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
114;9x21_left2_right2-4-4;4;0;8236;20731;86;0.01;8236;20731;86;0.01;0;8236;20731;86;0.01;8236;20731;86;0.01;0;8291;20841;86;0.01;8291;20841;86;0.01;1;2955;167;86;0.013700247;-1;-1;86;600;0;;;;;;;86;0.001
115;9x21_left2_right2-4-5;4;0;10887;31675;100;0.01;10887;31675;100;0.01;0;10887;31675;100;0.01;10887;31675;100;0.01;0;11080;32037;100;0.01;11080;32037;100;0.01;1;8470;772;100;0.040282726;-1;-1;100;600;0;;;;;;;100;0.002
116;9x21_left2_right2-4-6;4;0;9312;25375;89;0.02;10074;28929;89;0.03;0;9312;25375;89;0.02;10074;28929;89;0.03;0;9402;25543;89;0.02;10283;29311;89;0.03;0;5246;453;89;0.028742552;7581;700;89;0.049667835;0;;;;;;;89;0.005
117;9x21_left2_right2-4-7;4;0;10465;29934;95;0.02;12119;37883;95;0.03;0;10465;29934;95;0.02;12119;37883;95;0.03;0;10718;30396;95;0.03;12692;38891;95;0.03;0;7863;797;95;0.045225859;13202;1478;95;0.10139966;0;;;;;;;97;0.043
118;9x21_left2_right2-4-8;4;0;8210;20559;88;0.02;8210;20559;88;0.02;0;8210;20559;88;0.02;8210;20559;88;0.02;0;8260;20651;88;0.02;8260;20651;88;0.02;1;2778;165;88;0.029668093;-1;-1;88;600;0;;;;;;;89;0.01
119;9x21_left2_right2-4-9;4;0;9575;27279;85;0.06;10253;30334;85;0.06;0;9575;27279;85;0.06;10253;30334;85;0.07;0;9718;27541;85;0.06;10488;30758;85;0.06;0;6711;695;85;0.105291843;8593;929;85;0.134525061;0;;;;;;;85;0.026
120;9x21_left2_right2-6-0;6;0;10240;29753;140;0.01;10240;29753;140;0.01;0;10240;29753;140;0.01;10240;29753;140;0.01;0;10494;30177;140;0.02;10494;30177;140;0.02;1;8622;823;140;0.040756702;-1;-1;140;600;0;;;;;;;143;0.022
121;9x21_left2_right2-6-1;6;0;10104;29784;133;0.04;11022;34394;133;0.05;0;10104;29784;133;0.04;11022;34394;133;0.05;0;10530;30486;133;0.04;11650;35361;133;0.05;0;9527;1020;133;0.110342026;12523;1612;133;0.172188759;0;;;;;;;136;0.111
122;9x21_left2_right2-6-2;6;0;9289;25031;143;0.02;10243;29619;143;0.03;0;9289;25031;143;0.02;10243;29619;143;0.03;0;9353;25155;143;0.02;10511;30105;143;0.03;0;5382;355;143;0.039958954;8751;683;143;0.086915493;0;;;;;;;144;0.024
123;9x21_left2_right2-6-3;6;0;10804;33318;141;0.06;21718;93111;140;0.1;0;10804;33318;141;0.06;21718;93111;140;0.12;0;11295;34133;141;0.06;26057;97167;140;0.11;0;11612;1284;141;0.120064259;48524;11860;140;0.766233444;0;;;;;;;142;1.219
