instances;name;agentes;status_1;vars_makespan_1;clauses_makespan_1;cost_makespan_1;time_makespan_1;vars_soc_1;clauses_soc_1;cost_soc_1;time_soc_1;status_2;vars_makespan_2;clauses_makespan_2;cost_makespan_2;time_makespan_2;vars_soc_2;clauses_soc_2;cost_soc_2;time_soc_2;status_3;vars_makespan_3;clauses_makespan_3;cost_makespan_3;time_makespan_3;vars_soc_3;clauses_soc_3;cost_soc_3;time_soc_3;status_4;vars_makespan_4;clauses_makespan_4;cost_makespan_4;time_makespan_4;vars_soc_4;clauses_soc_4;cost_soc_4;time_soc_4;status_5;vars_makespan_5;clauses_makespan_5;cost_makespan_5;time_makespan_5;vars_soc_5;clauses_soc_5;cost_soc_5;time_soc_5
73;Instance-20-10-34-3_enc1;34;0;144356;1176430;475;0.85;156394;1311506;475;1.05;0;144356;1176430;475;0.93;156394;1311506;475;1.16;0;244866;1153072;475;0.58;270776;1280143;475;1.22;0;476524;98066;475;2.542277575;528806;108017;475;4.482406378;0;;;;;;;484;16.801
74;Instance-20-10-34-4_enc1;34;0;136581;1095720;428;0.87;172318;1497225;428;1.28;0;136581;1095720;428;0.98;172318;1497225;428;1.27;0;229738;1076125;428;0.64;306983;1453253;428;1.54;0;447518;92813;428;2.939237118;603099;122257;428;5.083846092;0;;;;;;;436;16.211
75;Instance-20-10-34-5_enc1;34;0;118339;882044;462;0.76;164595;1389471;462;1.03;0;118339;882044;462;0.77;164595;1389471;462;1.06;0;189911;872656;462;0.46;288644;1352839;462;1.13;0;365189;77027;462;1.969049215;564421;115351;462;4.727524996;0;;;;;;;470;37.915
76;Instance-20-10-34-6_enc1;34;0;121256;901552;425;0.92;202994;1817084;425;1.44;0;121256;901552;425;0.92;202994;1817084;425;1.38;0;194521;896210;425;0.55;371620;1756398;425;1.63;0;377049;80708;425;2.769819736;732799;147831;425;6.528060675;0;;;;;;;432;33.112
77;Instance-20-10-34-7_enc1;34;0;112773;800906;522;1.36;251746;2391397;522;3.13;0;112773;800906;522;1.4;251746;2391397;522;2.43;0;174846;800421;522;1.03;479412;2290722;522;4.26;0;335400;71626;522;2.887300253;948335;188179;522;9.342912912;0;;;;;;;531;599.703
78;Instance-20-10-34-8_enc1;34;0;162893;1354661;480;1.18;242957;2298790;480;1.74;0;162893;1354661;480;1.28;242957;2298790;480;1.83;0;282144;1324506;480;0.75;462015;2201932;480;1.92;0;553376;114517;480;4.871682644;914651;181826;480;10.13834882;0;;;;;;;488;40.074
79;Instance-20-10-34-9_enc1;34;0;123816;940081;448;0.96;206673;1882663;448;2.02;0;123816;940081;448;0.99;206673;1882663;448;1.48;0;199829;933169;448;0.54;379701;1817379;448;2.24;0;386804;82783;448;3.676004171;748413;151148;448;7.166216612;0;;;;;;;454;44.258
80;Instance-20-10-36-0_enc1;36;0;166437;1406225;515;1.6;309197;3143892;515;3.69;0;166437;1406225;515;1.61;309197;3143892;515;2.57;0;291793;1369151;515;0.9;619055;2968536;515;4.02;0;573262;116776;515;5.433468819;1230349;237105;515;23.28647304;3;;;;;;;-1;600
81;Instance-20-10-36-1_enc1;36;0;117478;853701;530;1.07;259438;2501441;530;1.65;0;117478;853701;530;1.1;259438;2501441;530;1.75;0;184909;852659;530;0.55;499033;2388340;530;1.95;0;358084;76956;530;2.588224411;989058;195642;530;9.931216002;0;;;;;;;537;92.661
82;Instance-20-10-36-2_enc1;36;0;137813;1092503;442;1.27;288862;2898527;442;2.35;0;137813;1092503;442;1.33;288862;2898527;442;2.15;0;232360;1073671;442;0.71;574523;2734925;442;2.73;0;453483;94590;442;3.060622454;1140330;221795;442;10.07104301;0;;;;;;;451;140.037
